Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	Desc	Code	Tool	Community	Community Size	Community Rep	Seq length (aa)	Taxonomy	Taxonomy detail
UniRef100_A0A3D4GJL6	5.1e-22	503-619	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A853W4I3	8.9e-16	316-434	NA	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C535	1	UniRef100_A0A853W4I3	617	Bacillota	Bacillota
UniRef100_A0A853W4I3	1.9e-16	430-547	NA	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C535	1	UniRef100_A0A853W4I3	617	Bacillota	Bacillota
UniRef100_A0A177Q9Z8	2.3000000000000003e-27	329-424	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C468	2	UniRef100_A0A177Q9Z8	850	Nitrospirae	Nitrospirae
UniRef100_A0A177Q9Z8	2.4999999999999997e-42	512-526,645-758	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C468	2	UniRef100_A0A177Q9Z8	850	Nitrospirae	Nitrospirae
UniRef100_A0A177Q9Z8	1.4e-28	525-644	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C468	2	UniRef100_A0A177Q9Z8	850	Nitrospirae	Nitrospirae
UniRef100_A0A1C6PWE2	1.2e-35	126-180,276-396	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	2.8e-26	225-312	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	2.0999999999999999e-38	400-414,534-653	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1C6PWE2	5.4e-30	413-533	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	787	Actinomycetota	Actinomycetota
UniRef100_A0A1L9DVL8	2.3e-13	379-420,594-637	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C162	1	UniRef100_A0A1L9DVL8	883	NA	NA
UniRef100_A0A1L9DVL8	3.7e-20	637-820	NA	alpha bundles	Calcium ATPase transmembrane domain-related	Calcium ATPase transmembrane domain M	Cation_ATPase_C	5073.1.1.14	DomainMapper	C162	1	UniRef100_A0A1L9DVL8	883	NA	NA
UniRef100_A0A3A9EWM7	9.500000000000001e-21	204-277	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C564	3	UniRef100_A0A3A9EWM7	277	NA	NA
UniRef100_R4K8I0	6.4e-31	431-443,560-677	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C99	1	UniRef100_R4K8I0	762	Bacillota	Bacillota
UniRef100_R4K8I0	1.1e-17	444-558	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C99	1	UniRef100_R4K8I0	762	Bacillota	Bacillota
UniRef100_A0A562GRU7	2.06e-19	137-341,595-659	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C610	1	UniRef100_A0A562GRU7	681	Bacillota	Bacillota
UniRef100_A0A562GRU7	9.4e-34	356-370,488-606	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C610	1	UniRef100_A0A562GRU7	681	Bacillota	Bacillota
UniRef100_A0A562GRU7	1.2e-25	371-487	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C610	1	UniRef100_A0A562GRU7	681	Bacillota	Bacillota
UniRef100_A0A242B9M7	1.7e-17	199-291	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C712	24	UniRef100_A0A351Z0B2	695	Bacillota	Bacillota
UniRef100_A0A242B9M7	2.7e-33	380-394,513-626	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C712	24	UniRef100_A0A351Z0B2	695	Bacillota	Bacillota
UniRef100_A0A242B9M7	4.5e-19	394-510	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C712	24	UniRef100_A0A351Z0B2	695	Bacillota	Bacillota
UniRef100_A0A243S578	1.6000000000000002e-47	206-522	NA	alpha bundles	Type II ABC exporter transmembrane domain fold	Type I ABC exporter transmembrane domain fold	ABC_membrane	1075.4.1.1	DomainMapper	C538	15	UniRef100_A0A2W6BRH6	800	Actinomycetota	Actinomycetota
UniRef100_A0A243S578	3.3e-88	543-781	NA	a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	ABC_tran_1	2004.1.1.1405	DomainMapper	C538	15	UniRef100_A0A2W6BRH6	800	Actinomycetota	Actinomycetota
UniRef100_A0A6N8DUB2	6.8e-20	330-415	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C480	2	UniRef100_A0A6N8DUB2	842	Proteobacteria	Proteobacteria
UniRef100_A0A1G6Y2E8	1.4e-13	108-167,257-364	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C712	24	UniRef100_A0A351Z0B2	700	Bacillota	Bacillota
UniRef100_A0A1G6Y2E8	1.6e-21	204-293	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C712	24	UniRef100_A0A351Z0B2	700	Bacillota	Bacillota
UniRef100_A0A1G6Y2E8	2.9e-43	381-395,516-631	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C712	24	UniRef100_A0A351Z0B2	700	Bacillota	Bacillota
UniRef100_A0A1G6Y2E8	7.6e-26	396-515	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C712	24	UniRef100_A0A351Z0B2	700	Bacillota	Bacillota
UniRef100_B8HLX2	1.3e-22	318-412	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C510	3	UniRef100_A0A6B3MAW5	819	Cyanobacteria	Cyanobacteria
UniRef100_B8HLX2	3.8e-38	500-514,633-751	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C510	3	UniRef100_A0A6B3MAW5	819	Cyanobacteria	Cyanobacteria
UniRef100_B8HLX2	2.1e-24	513-630	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C510	3	UniRef100_A0A6B3MAW5	819	Cyanobacteria	Cyanobacteria
UniRef100_A0A4R1PWX3	2.7e-11	347-405	NA	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C523	1	UniRef100_A0A4R1PWX3	415	Bacillota	Bacillota
UniRef100_A0A832A3S4	4.8e-13	236-289	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C115	1	UniRef100_A0A832A3S4	289	Proteobacteria	Proteobacteria
UniRef100_A0A2T6DAZ6	6.1e-17	333-420	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C390	1	UniRef100_A0A2T6DAZ6	882	Other	Verrucomicrobia
UniRef100_A0A2T6DAZ6	1.2e-11	688-792	NA	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C390	1	UniRef100_A0A2T6DAZ6	882	Other	Verrucomicrobia
UniRef100_A0A649UR99	8.9e-46	169-485	NA	alpha bundles	Type II ABC exporter transmembrane domain fold	Type I ABC exporter transmembrane domain fold	ABC_membrane	1075.4.1.1	DomainMapper	C539	1	UniRef100_A0A649UR99	749	Actinomycetota	Actinomycetota
UniRef100_A0A649UR99	6.9e-85	506-744	NA	a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	ABC_tran_1	2004.1.1.1405	DomainMapper	C539	1	UniRef100_A0A649UR99	749	Actinomycetota	Actinomycetota
UniRef100_A0A1Z4NHN5	1.2000000000000002e-27	215-288	NA	alpha bundles	Acid phosphatase/Vanadium-dependent haloperoxidase	Acid phosphatase/Vanadium-dependent haloperoxidase	PAP2	180.1.1.1	DomainMapper	C419	24	UniRef100_A0A1U7ILD7	309	Cyanobacteria	Cyanobacteria
UniRef100_A0A2A5HBM4	6e-28	164-469	NA	alpha bundles	Type II ABC exporter transmembrane domain fold	Type I ABC exporter transmembrane domain fold	ABC_membrane	1075.4.1.1	DomainMapper	C231	1	UniRef100_A0A2A5HBM4	563	Proteobacteria	Proteobacteria
UniRef100_A0A2A5HBM4	1.3e-25	487-563	NA	a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	ABC_tran_1	2004.1.1.1405	DomainMapper	C231	1	UniRef100_A0A2A5HBM4	563	Proteobacteria	Proteobacteria
UniRef100_A0A3D3CL28	3.600000000000001e-21	198-292	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C590	1	UniRef100_A0A3D3CL28	549	Other	Synergistetes
UniRef100_A0A3D3CL28	4e-12	392-472	NA	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C590	1	UniRef100_A0A3D3CL28	549	Other	Synergistetes
UniRef100_A0A7G8HKQ1	9.1e-11	523-614	NA	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C656	5	UniRef100_A0A4P7ZPZ1	718	Cyanobacteria	Cyanobacteria
UniRef100_A0A7C9UY65	8.3e-16	98-158	NA	a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A7C9UY65	1.2900000000000001e-66	193-268,368-492,720-802	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A7C9UY65	7.1e-28	309-404	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A7C9UY65	1.4999999999999999e-40	500-514,632-748	IS NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A7C9UY65	1.9000000000000002e-36	513-632	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	808	Proteobacteria	Proteobacteria
UniRef100_A0A351V2S1	1.9e-16	141-234	NA	alpha bundles	Calcium ATPase transmembrane domain-related	Calcium ATPase transmembrane domain M	Cation_ATPase_C	5073.1.1.14	DomainMapper	C613	1	UniRef100_A0A351V2S1	235	Proteobacteria	Proteobacteria
UniRef100_A0A538KHX0	1.2e-26	234-327	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	739	Actinomycetota	Actinomycetota
UniRef100_A0A538KHX0	6.2e-38	415-429,545-664	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	739	Actinomycetota	Actinomycetota
UniRef100_A0A538KHX0	1.4999999999999997e-23	428-542	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	739	Actinomycetota	Actinomycetota
UniRef100_I4CB89	3.88e-30	139-196,285-392,655-715	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	755	Proteobacteria	Proteobacteria
UniRef100_I4CB89	7.600000000000001e-31	227-321	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	755	Proteobacteria	Proteobacteria
UniRef100_I4CB89	5.7e-36	408-423,542-662	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	755	Proteobacteria	Proteobacteria
UniRef100_I4CB89	4.5e-24	422-541	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	755	Proteobacteria	Proteobacteria
UniRef100_A0A6P1ZMR0	1e-19	148-201,290-402	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	730	Proteobacteria	Proteobacteria
UniRef100_A0A6P1ZMR0	1.4e-25	233-326	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	730	Proteobacteria	Proteobacteria
UniRef100_A0A6P1ZMR0	2.7e-37	415-429,547-660	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	730	Proteobacteria	Proteobacteria
UniRef100_A0A6P1ZMR0	2.9000000000000004e-26	430-547	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	730	Proteobacteria	Proteobacteria
UniRef100_A0A7Y8HE77	1.35e-22	149-204,293-405,655-722	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	736	Proteobacteria	Proteobacteria
UniRef100_A0A7Y8HE77	4.7e-24	235-329	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	736	Proteobacteria	Proteobacteria
UniRef100_A0A7Y8HE77	2.7e-36	418-432,551-666	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	736	Proteobacteria	Proteobacteria
UniRef100_A0A7Y8HE77	5.2e-28	433-551	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	736	Proteobacteria	Proteobacteria
UniRef100_A0A2V2G219	7.92e-20	145-198,288-399,653-723	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	748	Proteobacteria	Proteobacteria
UniRef100_A0A2V2G219	1.1e-23	234-324	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	748	Proteobacteria	Proteobacteria
UniRef100_A0A2V2G219	1.1e-39	412-426,551-668	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	748	Proteobacteria	Proteobacteria
UniRef100_A0A2V2G219	5.1e-25	426-550	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	748	Proteobacteria	Proteobacteria
UniRef100_B7KAL6	6.9e-26	242-332	NA	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	743	Cyanobacteria	Cyanobacteria
UniRef100_B7KAL6	2.5e-40	421-435,550-668	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	743	Cyanobacteria	Cyanobacteria
UniRef100_B7KAL6	9.3e-26	434-548	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	743	Cyanobacteria	Cyanobacteria
UniRef100_A0A7C4N3M5	1.93e-23	131-187,276-404,633-704	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	737	Proteobacteria	Proteobacteria
UniRef100_A0A7C4N3M5	1e-23	217-312	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	737	Proteobacteria	Proteobacteria
UniRef100_A0A7C4N3M5	8.1e-32	402-415,534-649	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	737	Proteobacteria	Proteobacteria
UniRef100_A0A7C4N3M5	2.3e-32	414-532	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	737	Proteobacteria	Proteobacteria
UniRef100_A0A2M6VQL8	2.2e-23	232-322	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	725	Proteobacteria	Proteobacteria
UniRef100_A0A2M6VQL8	1.1e-37	412-424,544-654	NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	725	Proteobacteria	Proteobacteria
UniRef100_A0A2M6VQL8	4.6000000000000006e-27	423-542	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	725	Proteobacteria	Proteobacteria
UniRef100_A0A800C6D7	1.69e-18	148-200,290-402,648-703	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	733	Proteobacteria	Proteobacteria
UniRef100_A0A800C6D7	1.6999999999999997e-23	232-326	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	733	Proteobacteria	Proteobacteria
UniRef100_A0A800C6D7	8.700000000000001e-31	415-429,548-663	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	733	Proteobacteria	Proteobacteria
UniRef100_A0A800C6D7	2.3999999999999997e-23	430-547	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	733	Proteobacteria	Proteobacteria
UniRef100_A0A1E7J4J4	2.51e-22	142-206,295-408,650-723	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	741	Proteobacteria	Proteobacteria
UniRef100_A0A1E7J4J4	1.5999999999999999e-24	238-331	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	741	Proteobacteria	Proteobacteria
UniRef100_A0A1E7J4J4	8.7e-36	420-434,553-669	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	741	Proteobacteria	Proteobacteria
UniRef100_A0A1E7J4J4	9.1e-29	435-553	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C366	114	UniRef100_A0A3P1Y6T0	741	Proteobacteria	Proteobacteria
UniRef100_A0A5Q2MZH4	3.13e-47	159-218,307-418,675-735	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C0	1	UniRef100_A0A5Q2MZH4	764	Bacillota	Bacillota
UniRef100_A0A5Q2MZH4	5.899999999999999e-34	249-343	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C0	1	UniRef100_A0A5Q2MZH4	764	Bacillota	Bacillota
UniRef100_A0A5Q2MZH4	7.9e-37	431-445,564-682	NC IS	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C0	1	UniRef100_A0A5Q2MZH4	764	Bacillota	Bacillota
UniRef100_A0A5Q2MZH4	8.5e-28	444-563	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	P-type_ATPase_Cu-like	267.1.1.5	DomainMapper	C0	1	UniRef100_A0A5Q2MZH4	764	Bacillota	Bacillota
