Community	Community Rep	Rep degree	Community Size	subgraph	Rep Degree	mean_seq_len	longest_seqs	longest_len	shortest_seqs	shortest_len	prefix	_commu	community_track	IPRS	IPRS_Functions	DomainMapper_Ecod	DomainMapper_Functions
C14	UniRef100_A0A350Y0T1	0	1	Subgraph_182	0	222.0	UniRef100_A0A350Y0T1	222	UniRef100_A0A350Y0T1	222	us	14	us_C14	NA	NA	NA	NA
C18	UniRef100_A0A536XD81	0	1	Subgraph_183	0	556.0	UniRef100_A0A536XD81	556	UniRef100_A0A536XD81	556	us	18	us_C18	NA	NA	NA	NA
C28	UniRef100_A0A7K3NQH8	0	1	Subgraph_184	0	422.0	UniRef100_A0A7K3NQH8	422	UniRef100_A0A7K3NQH8	422	us	28	us_C28	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C29	UniRef100_R1CB45	0	1	Subgraph_185	0	439.0	UniRef100_R1CB45	439	UniRef100_R1CB45	439	us	29	us_C29	NA	NA	NA	NA
C33	UniRef100_T0T6H1	0	1	Subgraph_186	0	96.0	UniRef100_T0T6H1	96	UniRef100_T0T6H1	96	us	33	us_C33	NA	NA	NA	NA
C34	UniRef100_A0A356BG87	0	1	Subgraph_187	0	702.0	UniRef100_A0A356BG87	702	UniRef100_A0A356BG87	702	us	34	us_C34	IPR027256;IPR001757;IPR008250;IPR023214;IPR036412;IPR023299;IPR036163	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Heavy metal-associated domain superfamily	304.3.1.7;5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	HMA;E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C35	UniRef100_A0A3N9UXZ5	1	2	Subgraph_115	1	158.5	UniRef100_A0A3N9UXZ5	159	UniRef100_A0A2U0AB96	158	usc	35	usc_C35	NA	NA	NA	NA
C429	UniRef100_A0A5C7XZV1	5	10	Subgraph_31	5	769.4	UniRef100_A0A0S3U8E9	772	UniRef100_B8HU17	766	bc	429	bc_C429	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C37	UniRef100_A4YAC7	0	1	Subgraph_188	0	189.0	UniRef100_A4YAC7	189	UniRef100_A4YAC7	189	us	37	us_C37	NA	NA	NA	NA
C40	UniRef100_A0A7M1LI70	3	5	Subgraph_56	3	704.8	UniRef100_S3XHF6;UniRef100_A0A6N2TMM5	708	UniRef100_A0A7M1LI70	698	s	40	s_C40	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C43	UniRef100_A0A662NFT6	1	2	Subgraph_113	1	505.0	UniRef100_A0A3D1UEZ5	518	UniRef100_A0A662NFT6	492	usc	43	usc_C43	IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;P-type_ATPase_Cu-like
C44	UniRef100_A0A7V4XEP9	0	1	Subgraph_189	0	165.0	UniRef100_A0A7V4XEP9	165	UniRef100_A0A7V4XEP9	165	us	44	us_C44	NA	NA	NA	NA
C84	UniRef100_A0A849U5X8	2	3	Subgraph_80	2	629.0	UniRef100_A0A2N1ZRV3	657	UniRef100_A0A522V6L6	607	s	84	s_C84	IPR036163;IPR027256;IPR023298;IPR001757;IPR008250;IPR023214;IPR023299	Heavy metal-associated domain superfamily;P-type ATPase, subfamily IB;P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	304.3.1.7;5073.1.2.3;10.13.1.2;267.1.1.5	HMA;E1-E2_ATPase_C;E1-E2_ATPase_N;P-type_ATPase_Cu-like
C46	UniRef100_A0A2L2XEP1	0	1	Subgraph_190	0	1110.0	UniRef100_A0A2L2XEP1	1110	UniRef100_A0A2L2XEP1	1110	us	46	us_C46	IPR004014;IPR023298;IPR008250;IPR001757;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	Cation-transporting P-type ATPase, N-terminal;P-type ATPase, transmembrane domain superfamily;P-type ATPase, A domain superfamily;P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C47	UniRef100_A0A1W9WRC9	1	2	Subgraph_116	1	208.5	UniRef100_A0A1W9WRC9	214	UniRef100_A0A120D213	203	usc	47	usc_C47	NA	NA	NA	NA
C48	UniRef100_I4GI00	1	2	Subgraph_117	1	107.5	UniRef100_I4GI00	108	UniRef100_I4H6X3	107	usc	48	usc_C48	NA	NA	NA	NA
C49	UniRef100_A0A3N5THP5	0	1	Subgraph_191	0	83.0	UniRef100_A0A3N5THP5	83	UniRef100_A0A3N5THP5	83	us	49	us_C49	NA	NA	NA	NA
C52	UniRef100_Q606U9	0	1	Subgraph_192	0	1068.0	UniRef100_Q606U9	1068	UniRef100_Q606U9	1068	us	52	us_C52	IPR008250;IPR024787	P-type ATPase, A domain superfamily;EcsC protein	10.13.1.2	E1-E2_ATPase_N
C53	UniRef100_A0A2S5KMH5	0	1	Subgraph_193	0	757.0	UniRef100_A0A2S5KMH5	757	UniRef100_A0A2S5KMH5	757	us	53	us_C53	IPR023298;IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, transmembrane domain superfamily;P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C57	UniRef100_B1MA32	2	3	Subgraph_81	2	816.6666666666666	UniRef100_A0A1H0DKA2	819	UniRef100_A0A7Y4JAF4	814	s	57	s_C57	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C60	UniRef100_A0A0S3UCN9	0	1	Subgraph_194	0	303.0	UniRef100_A0A0S3UCN9	303	UniRef100_A0A0S3UCN9	303	us	60	us_C60	IPR010331	Exopolysaccharide synthesis, ExoD		
C62	UniRef100_H1DBB7	2	3	Subgraph_83	2	147.33333333333334	UniRef100_A0A7Y3AEL6	170	UniRef100_A0A448MAZ9	126	sc	62	sc_C62	NA	NA	NA	NA
C63	UniRef100_A0A7C8M2J4	0	1	Subgraph_195	0	447.0	UniRef100_A0A7C8M2J4	447	UniRef100_A0A7C8M2J4	447	us	63	us_C63	NA	NA	NA	NA
C65	UniRef100_A0A7C2VMR7	0	1	Subgraph_196	0	209.0	UniRef100_A0A7C2VMR7	209	UniRef100_A0A7C2VMR7	209	us	65	us_C65	NA	NA	NA	NA
C67	UniRef100_A0A6I0FDA2	1	2	Subgraph_120	1	498.0	UniRef100_A0A833HL98	502	UniRef100_A0A6I0FDA2	494	usc	67	usc_C67	NA	NA	NA	NA
C68	UniRef100_U2L905	0	1	Subgraph_197	0	130.0	UniRef100_U2L905	130	UniRef100_U2L905	130	us	68	us_C68	NA	NA	NA	NA
C71	UniRef100_A0A109SXH9	6	7	Subgraph_41	6	104.57142857142856	UniRef100_X8A7C9	120	UniRef100_A0A5B1BLP8	76	bc	71	bc_C71	NA	NA	NA	NA
C73	UniRef100_A0A7V8WRG4	0	1	Subgraph_198	0	438.0	UniRef100_A0A7V8WRG4	438	UniRef100_A0A7V8WRG4	438	us	73	us_C73	NA	NA	NA	NA
C74	UniRef100_A0A7T5CH13	1	2	Subgraph_122	1	829.0	UniRef100_A0A7T5CH13	831	UniRef100_A0A517YPT5	827	usc	74	usc_C74	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C75	UniRef100_A0A564ZMZ6	40	80	Subgraph_2	40	162.3625	UniRef100_A0A351V2S4	190	UniRef100_A0A501PFG6	141	bc	75	bc_C75	NA	NA	NA	NA
C79	UniRef100_A0A1Z5H6R7	0	1	Subgraph_199	0	149.0	UniRef100_A0A1Z5H6R7	149	UniRef100_A0A1Z5H6R7	149	us	79	us_C79	NA	NA	NA	NA
C80	UniRef100_A0A0K1NDV4	0	1	Subgraph_200	0	186.0	UniRef100_A0A0K1NDV4	186	UniRef100_A0A0K1NDV4	186	us	80	us_C80	NA	NA	NA	NA
C82	UniRef100_A0A350D033	1	2	Subgraph_125	1	250.0	UniRef100_A0A7X4Y402	255	UniRef100_A0A350D033	245	usc	82	usc_C82	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C83	UniRef100_A0A6H2NMM5	0	1	Subgraph_201	0	390.0	UniRef100_A0A6H2NMM5	390	UniRef100_A0A6H2NMM5	390	us	83	us_C83	IPR024787	EcsC protein		
C85	UniRef100_A0A6B8K8S8	0	1	Subgraph_202	0	340.0	UniRef100_A0A6B8K8S8	340	UniRef100_A0A6B8K8S8	340	us	85	us_C85	NA	NA	NA	NA
C86	UniRef100_A0A3S1CFH9	1	2	Subgraph_126	1	172.5	UniRef100_A0A2H2XCJ1	173	UniRef100_A0A3S1CFH9	172	s	86	s_C86	IPR007401	Protein of unknown function DUF454		
C87	UniRef100_A0A2N8THP2	2	3	Subgraph_79	2	568.6666666666666	UniRef100_A0A6B3ARQ7	582	UniRef100_A0A2N8THP2	556	s	87	s_C87	NA	NA	NA	NA
C88	UniRef100_G8AXA8	0	1	Subgraph_203	0	239.0	UniRef100_G8AXA8	239	UniRef100_G8AXA8	239	us	88	us_C88	NA	NA	NA	NA
C89	UniRef100_A0A4Y9MBC0	0	1	Subgraph_204	0	778.0	UniRef100_A0A4Y9MBC0	778	UniRef100_A0A4Y9MBC0	778	us	89	us_C89	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C92	UniRef100_I0WHJ8	1	2	Subgraph_128	1	646.0	UniRef100_I0WHJ8	647	UniRef100_A0A2S2C0A9	645	usc	92	usc_C92	NA	NA	NA	NA
C93	UniRef100_A0A7V6A599	4	6	Subgraph_47	4	339.1666666666667	UniRef100_K9RVG3	354	UniRef100_A0A552LCK1	330	ubc	93	ubc_C93	NA	NA	NA	NA
C94	UniRef100_A0A0S3U8J3	1	2	Subgraph_129	1	582.0	UniRef100_K9RRC2	591	UniRef100_A0A0S3U8J3	573	s	94	s_C94	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C55	UniRef100_I3YG68	4	10	Subgraph_30	4	187.8	UniRef100_A0A850RDK2	201	UniRef100_A0A5M8FTB8	162	sc	55	sc_C55	NA	NA	NA	NA
C525	UniRef100_A0A5C7KBI4	36	61	Subgraph_3	36	805.5081967213115	UniRef100_A0A522WSV7	824	UniRef100_A0A1L6LBI1	776	bc	525	bc_C525	IPR036163;IPR006121;IPR027256;IPR023298;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR029058;IPR013094	Heavy metal-associated domain superfamily;Heavy metal-associated domain, HMA;P-type ATPase, subfamily IB;P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Alpha/Beta hydrolase fold;Alpha/beta hydrolase fold-3	304.3.1.7;5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	HMA;E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C99	UniRef100_R4K8I0	0	1	Subgraph_205	0	762.0	UniRef100_R4K8I0	762	UniRef100_R4K8I0	762	us	99	us_C99	IPR001757;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	2006.1.1.42;267.1.1.5	Hydrolase_3_1;P-type_ATPase_Cu-like
C100	UniRef100_A0A120D236	0	1	Subgraph_206	0	202.0	UniRef100_A0A120D236	202	UniRef100_A0A120D236	202	us	100	us_C100	IPR007401	Protein of unknown function DUF454		
C101	UniRef100_A0A832A5H6	0	1	Subgraph_207	0	236.0	UniRef100_A0A832A5H6	236	UniRef100_A0A832A5H6	236	us	101	us_C101	NA	NA	NA	NA
C103	UniRef100_A0A4Q0MTM2	0	1	Subgraph_208	0	984.0	UniRef100_A0A4Q0MTM2	984	UniRef100_A0A4Q0MTM2	984	us	103	us_C103	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C104	UniRef100_H3KBX1	0	1	Subgraph_209	0	229.0	UniRef100_H3KBX1	229	UniRef100_H3KBX1	229	us	104	us_C104	NA	NA	NA	NA
C399	UniRef100_A0A1H6HD08	19	42	Subgraph_1	19	99.04761904761904	UniRef100_J5I023	126	UniRef100_A0A7V4G6I3;UniRef100_A0A848BRU7;UniRef100_A0A411ZZA8	92	bc	399	bc_C399	NA	NA	NA	NA
C107	UniRef100_A0A856MR01	0	1	Subgraph_210	0	375.0	UniRef100_A0A856MR01	375	UniRef100_A0A856MR01	375	us	107	us_C107	NA	NA	NA	NA
C108	UniRef100_A0A0A0N778	0	1	Subgraph_211	0	215.0	UniRef100_A0A0A0N778	215	UniRef100_A0A0A0N778	215	us	108	us_C108	NA	NA	NA	NA
C109	UniRef100_A0A6G9SA77	1	2	Subgraph_133	1	402.5	UniRef100_A0A5P8WCE2	403	UniRef100_A0A6G9SA77	402	usc	109	usc_C109	NA	NA	NA	NA
C110	UniRef100_A0A4Y9MUR6	1	2	Subgraph_134	1	892.0	UniRef100_A0A4Y9NEV0	905	UniRef100_A0A4Y9MUR6	879	usc	110	usc_C110	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C111	UniRef100_A0A098TMM5	0	1	Subgraph_212	0	293.0	UniRef100_A0A098TMM5	293	UniRef100_A0A098TMM5	293	us	111	us_C111	NA	NA	NA	NA
C112	UniRef100_A0A846HML4	0	1	Subgraph_213	0	234.0	UniRef100_A0A846HML4	234	UniRef100_A0A846HML4	234	us	112	us_C112	NA	NA	NA	NA
C115	UniRef100_A0A832A3S4	0	1	Subgraph_214	0	289.0	UniRef100_A0A832A3S4	289	UniRef100_A0A832A3S4	289	us	115	us_C115	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C116	UniRef100_G8AXA5	0	1	Subgraph_215	0	447.0	UniRef100_G8AXA5	447	UniRef100_G8AXA5	447	us	116	us_C116	NA	NA	NA	NA
C119	UniRef100_A0A2H2XBG2	0	1	Subgraph_216	0	284.0	UniRef100_A0A2H2XBG2	284	UniRef100_A0A2H2XBG2	284	us	119	us_C119	NA	NA	NA	NA
C0	UniRef100_A0A5Q2MZH4	0	1	Subgraph_217	0	764.0	UniRef100_A0A5Q2MZH4	764	UniRef100_A0A5Q2MZH4	764	bc	0	bc_C366	IPR027256;IPR023298;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C468	UniRef100_A0A177Q9Z8	1	2	Subgraph_136	1	838.5	UniRef100_A0A177Q9Z8	850	UniRef100_A0A7V7DSN5	827	s	468	s_C468	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C106	UniRef100_A0A7C2VAZ9	5	9	Subgraph_32	5	124.66666666666669	UniRef100_A0A2J6X0N1	128	UniRef100_A0A7C2VAZ9	123	ubc	106	ubc_C106	NA	NA	NA	NA
C128	UniRef100_A0A7V4G6T8	2	3	Subgraph_88	2	420.0	UniRef100_A0A3N5SKC9	440	UniRef100_A0A7V4G6T8	406	sc	128	sc_C128	IPR023298;IPR004014;IPR001757;IPR008250	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily	5073.1.1.14;10.13.1.2	Cation_ATPase_C;E1-E2_ATPase_N
C129	UniRef100_A0A656HDQ6	0	1	Subgraph_218	0	712.0	UniRef100_A0A656HDQ6	712	UniRef100_A0A656HDQ6	712	us	129	us_C129	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C130	UniRef100_A0A3D2GWZ7	0	1	Subgraph_219	0	234.0	UniRef100_A0A3D2GWZ7	234	UniRef100_A0A3D2GWZ7	234	us	130	us_C130	NA	NA	NA	NA
C131	UniRef100_A0A1W6MQH6	0	1	Subgraph_220	0	288.0	UniRef100_A0A1W6MQH6	288	UniRef100_A0A1W6MQH6	288	us	131	us_C131	NA	NA	NA	NA
C698	UniRef100_A0A0Y1C373	1	2	Subgraph_138	1	471.0	UniRef100_A0A0Y1C373	494	UniRef100_A0A7V3J1H4	448	s	698	s_C698	NA	NA	NA	NA
C19	UniRef100_A4TUA7	1	2	Subgraph_112	1	314.5	UniRef100_A4TUA7	321	UniRef100_A0A5C9BSX8	308	s	19	s_C19	IPR006121;IPR036163	Heavy metal-associated domain, HMA;Heavy metal-associated domain superfamily	5073.1.2.3;304.3.1.7	E1-E2_ATPase_C;HMA
C239	Cyanothece_sp_PCC_7425	2	4	Subgraph_67	2	373.0	UniRef100_A0A098TJ90;NZ_JJML01000036.1_prot_WP_052128762.1_2284	375	Cyanothece_sp_PCC_7425;UniRef100_B8HLW5	371	s	239	s_C239	NA	NA	NA	NA
C136	UniRef100_A0A1U7HB46	0	1	Subgraph_221	0	258.0	UniRef100_A0A1U7HB46	258	UniRef100_A0A1U7HB46	258	us	136	us_C136	NA	NA	NA	NA
C510	UniRef100_A0A6B3MAW5	2	3	Subgraph_90	2	816.0	UniRef100_B8HLX2	819	UniRef100_A0A6B3MAW5	813	s	510	s_C510	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C140	UniRef100_B8ETC0	10	19	Subgraph_16	10	858.421052631579	UniRef100_A0A432MEJ3;UniRef100_A0A3L7S6G8	878	UniRef100_Q3AI40	829	bc	140	bc_C140	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C146	UniRef100_A0A5B9TUT4	0	1	Subgraph_222	0	724.0	UniRef100_A0A5B9TUT4	724	UniRef100_A0A5B9TUT4	724	us	146	us_C146	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C603	UniRef100_A0A1G9U165	7	9	Subgraph_33	7	171.66666666666666	UniRef100_A0A1W2CMM0;UniRef100_A0A402BNS1;UniRef100_A0A1H8X663;UniRef100_I8RDC8	175	UniRef100_A0A4Q2WE78	156	s	603	s_C603	NA	NA	NA	NA
C568	UniRef100_A0A7U8YMJ0	1	2	Subgraph_139	1	282.5	UniRef100_A0A7X7PCU4	294	UniRef100_A0A7U8YMJ0	271	s	568	s_C568	IPR008250	P-type ATPase, A domain superfamily	10.13.1.2	E1-E2_ATPase_N
C150	UniRef100_A0A538PFI8	0	1	Subgraph_223	0	121.0	UniRef100_A0A538PFI8	121	UniRef100_A0A538PFI8	121	us	150	us_C150	NA	NA	NA	NA
C151	UniRef100_A0A1E3X479	0	1	Subgraph_224	0	257.0	UniRef100_A0A1E3X479	257	UniRef100_A0A1E3X479	257	us	151	us_C151	IPR036388;IPR002481;IPR036390	Winged helix-like DNA-binding domain superfamily;Ferric-uptake regulator;Winged helix DNA-binding domain superfamily	101.1.2.51	FUR
C156	UniRef100_A0A5C7JYE4	0	1	Subgraph_225	0	150.0	UniRef100_A0A5C7JYE4	150	UniRef100_A0A5C7JYE4	150	us	156	us_C156	NA	NA	NA	NA
C413	UniRef100_R1CS51	9	11	Subgraph_26	9	714.1818181818181	UniRef100_A0A3G1KVK7	730	UniRef100_A0A6I0FCT2	700	ubc	413	ubc_C413	IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C160	UniRef100_A0A7K3QYR4	1	2	Subgraph_142	1	823.5	UniRef100_A0A7K3QYR4	828	UniRef100_D9X4P0	819	usc	160	usc_C160	IPR023298;IPR008250	P-type ATPase, transmembrane domain superfamily;P-type ATPase, A domain superfamily	10.13.1.2;5073.1.1.14	E1-E2_ATPase_N;Cation_ATPase_C
