sequence_id	sequence_src	hit_target_len	hit_start	hit_stop	hit_e_value	hit_pident	hit_coverage	hit_method	hit_src
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	57	142	172	0.003321	0.65	0.53	hmmsearch	Gly3
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	57	207	250	4.442e-07	0.66	0.75	hmmsearch	Gly3
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	57	266	320	1.597e-25	0.58	0.95	hmmsearch	Gly3
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	61	111	170	8.726e-25	0.43	0.97	hmmsearch	Gly1
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	61	195	240	2.154e-09	0.64	0.74	hmmsearch	Gly1
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	61	270	300	0.0004823	0.71	0.49	hmmsearch	Gly1
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	60	106	137	0.00385	0.56	0.52	hmmsearch	Gly2
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	60	120	171	3.459e-09	0.6	0.85	hmmsearch	Gly2
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	60	186	244	5.342e-27	0.39	0.97	hmmsearch	Gly2
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	60	269	306	3.226e-05	0.68	0.62	hmmsearch	Gly2
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	57	118	136	0.3754	0.63	0.32	hmmsearch	Gly3
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	57	124	159	0.05398	0.67	0.61	hmmsearch	Gly3
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	57	195	234	1.017e-07	0.55	0.68	hmmsearch	Gly3
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	57	258	311	1.412e-26	0.44	0.93	hmmsearch	Gly3
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	61	111	170	8.726e-25	0.43	0.97	hmmsearch	Gly1
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	61	195	240	2.154e-09	0.64	0.74	hmmsearch	Gly1
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	61	270	300	0.0003959	0.71	0.49	hmmsearch	Gly1
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	60	106	137	0.00385	0.56	0.52	hmmsearch	Gly2
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	60	120	171	3.459e-09	0.6	0.85	hmmsearch	Gly2
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	60	186	244	5.342e-27	0.39	0.97	hmmsearch	Gly2
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	60	269	306	3.412e-05	0.68	0.62	hmmsearch	Gly2
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	57	118	136	0.3754	0.63	0.32	hmmsearch	Gly3
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	57	124	159	0.05398	0.67	0.61	hmmsearch	Gly3
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	57	195	234	1.017e-07	0.55	0.68	hmmsearch	Gly3
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	57	258	311	8.569e-27	0.43	0.93	hmmsearch	Gly3
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	61	111	170	8.726e-25	0.43	0.97	hmmsearch	Gly1
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	61	195	240	2.154e-09	0.64	0.74	hmmsearch	Gly1
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	61	270	300	0.00234	0.71	0.49	hmmsearch	Gly1
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	60	106	137	0.00385	0.56	0.52	hmmsearch	Gly2
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	60	120	171	3.459e-09	0.6	0.85	hmmsearch	Gly2
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	60	186	244	5.342e-27	0.39	0.97	hmmsearch	Gly2
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	60	269	306	4.535e-05	0.66	0.62	hmmsearch	Gly2
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	57	118	136	0.3754	0.63	0.32	hmmsearch	Gly3
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	57	124	159	0.05398	0.67	0.61	hmmsearch	Gly3
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	57	195	234	1.017e-07	0.55	0.68	hmmsearch	Gly3
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	57	258	311	1.859e-26	0.44	0.93	hmmsearch	Gly3
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	61	111	170	8.726e-25	0.43	0.97	hmmsearch	Gly1
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	61	195	240	2.154e-09	0.64	0.74	hmmsearch	Gly1
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	61	270	300	0.00234	0.71	0.49	hmmsearch	Gly1
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	60	106	137	0.00385	0.56	0.52	hmmsearch	Gly2
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	60	120	171	3.459e-09	0.6	0.85	hmmsearch	Gly2
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	60	186	244	5.342e-27	0.39	0.97	hmmsearch	Gly2
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	60	269	306	4.535e-05	0.66	0.62	hmmsearch	Gly2
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	57	118	136	0.3754	0.63	0.32	hmmsearch	Gly3
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	57	124	159	0.05398	0.67	0.61	hmmsearch	Gly3
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	57	195	234	1.017e-07	0.55	0.68	hmmsearch	Gly3
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	57	258	311	1.859e-26	0.44	0.93	hmmsearch	Gly3
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	61	146	206	1.276e-22	0.34	0.98	hmmsearch	Gly1
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	61	234	280	1.514e-08	0.59	0.75	hmmsearch	Gly1
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	61	312	342	1.835e-06	0.58	0.49	hmmsearch	Gly1
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	60	155	208	5.215e-07	0.67	0.88	hmmsearch	Gly2
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	60	225	281	1.248e-24	0.44	0.93	hmmsearch	Gly2
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	60	305	345	1.098e-07	0.61	0.67	hmmsearch	Gly2
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	57	145	172	0.01689	0.54	0.47	hmmsearch	Gly3
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	57	167	195	0.003489	0.55	0.49	hmmsearch	Gly3
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	57	230	272	6.947e-09	0.6	0.74	hmmsearch	Gly3
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	57	301	355	8.027e-27	0.38	0.95	hmmsearch	Gly3
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	61	146	206	1.276e-22	0.34	0.98	hmmsearch	Gly1
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	61	234	280	1.514e-08	0.59	0.75	hmmsearch	Gly1
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	61	312	342	1.835e-06	0.58	0.49	hmmsearch	Gly1
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	60	155	208	5.215e-07	0.67	0.88	hmmsearch	Gly2
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	60	225	281	1.248e-24	0.44	0.93	hmmsearch	Gly2
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	60	305	345	1.098e-07	0.61	0.67	hmmsearch	Gly2
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	57	145	172	0.01689	0.54	0.47	hmmsearch	Gly3
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	57	167	195	0.003489	0.55	0.49	hmmsearch	Gly3
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	57	230	272	6.947e-09	0.6	0.74	hmmsearch	Gly3
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	57	301	355	8.027e-27	0.38	0.95	hmmsearch	Gly3
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	61	115	175	4.31e-23	0.39	0.98	hmmsearch	Gly1
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	61	214	259	6.415e-09	0.6	0.74	hmmsearch	Gly1
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	61	289	325	6.136e-05	0.68	0.59	hmmsearch	Gly1
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	60	125	178	5.512e-08	0.61	0.88	hmmsearch	Gly2
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	60	205	263	7.346e-25	0.37	0.97	hmmsearch	Gly2
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	60	289	323	4.83e-06	0.6	0.57	hmmsearch	Gly2
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	57	127	164	0.03436	0.66	0.65	hmmsearch	Gly3
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	57	214	254	1.697e-07	0.56	0.7	hmmsearch	Gly3
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	57	278	332	1.478e-26	0.38	0.95	hmmsearch	Gly3
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	61	121	180	2.423e-22	0.4	0.97	hmmsearch	Gly1
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	61	212	255	7.76e-09	0.67	0.7	hmmsearch	Gly1
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	61	288	325	3.265e-05	0.68	0.61	hmmsearch	Gly1
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	60	131	174	2.526e-08	0.59	0.72	hmmsearch	Gly2
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	60	201	258	1.152e-23	0.5	0.95	hmmsearch	Gly2
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	60	288	319	0.0003328	0.62	0.52	hmmsearch	Gly2
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	57	133	170	0.1018	0.63	0.65	hmmsearch	Gly3
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	57	209	249	1.349e-08	0.59	0.7	hmmsearch	Gly3
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	57	277	330	9.891e-28	0.39	0.93	hmmsearch	Gly3
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	61	121	180	2.423e-22	0.4	0.97	hmmsearch	Gly1
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	61	212	255	7.76e-09	0.67	0.7	hmmsearch	Gly1
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	61	288	325	3.265e-05	0.68	0.61	hmmsearch	Gly1
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	60	131	174	2.526e-08	0.59	0.72	hmmsearch	Gly2
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	60	201	258	1.152e-23	0.5	0.95	hmmsearch	Gly2
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	60	288	319	0.0003328	0.62	0.52	hmmsearch	Gly2
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	57	133	170	0.1018	0.63	0.65	hmmsearch	Gly3
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	57	209	249	1.349e-08	0.59	0.7	hmmsearch	Gly3
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	57	277	330	9.891e-28	0.39	0.93	hmmsearch	Gly3
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	61	110	170	9.139e-25	0.41	0.98	hmmsearch	Gly1
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	61	196	243	2.227e-08	0.56	0.77	hmmsearch	Gly1
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	61	272	299	0.007993	0.68	0.44	hmmsearch	Gly1
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	60	119	171	2.345e-07	0.64	0.87	hmmsearch	Gly2
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	60	188	244	8.369e-26	0.35	0.93	hmmsearch	Gly2
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	60	274	302	0.02212	0.76	0.47	hmmsearch	Gly2
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	57	122	159	0.05258	0.61	0.65	hmmsearch	Gly3
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	57	194	234	2.015e-05	0.59	0.7	hmmsearch	Gly3
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	57	258	312	8.671e-26	0.51	0.95	hmmsearch	Gly3
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	61	110	170	1.095e-25	0.39	0.98	hmmsearch	Gly1
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	61	195	241	8.129e-08	0.57	0.75	hmmsearch	Gly1
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	61	274	299	0.08301	0.69	0.41	hmmsearch	Gly1
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	60	119	172	1.045e-08	0.65	0.88	hmmsearch	Gly2
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	60	186	244	5.219e-26	0.37	0.97	hmmsearch	Gly2
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	60	272	301	0.007065	0.7	0.48	hmmsearch	Gly2
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	57	122	159	0.0004137	0.61	0.65	hmmsearch	Gly3
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	57	195	234	1.497e-05	0.55	0.68	hmmsearch	Gly3
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	57	258	312	3.013e-26	0.51	0.95	hmmsearch	Gly3
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	61	122	180	1.625e-19	0.44	0.95	hmmsearch	Gly1
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	61	208	254	8.396e-10	0.61	0.75	hmmsearch	Gly1
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	61	286	320	4.694e-06	0.66	0.56	hmmsearch	Gly1
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	60	133	174	0.000305	0.64	0.68	hmmsearch	Gly2
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	60	200	257	1.555e-24	0.47	0.95	hmmsearch	Gly2
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	60	284	322	4.051e-05	0.67	0.63	hmmsearch	Gly2
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	57	134	168	0.003951	0.6	0.6	hmmsearch	Gly3
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	57	205	248	0.0001976	0.64	0.75	hmmsearch	Gly3
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	57	274	328	5.265e-25	0.55	0.95	hmmsearch	Gly3
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	61	122	180	1.625e-19	0.44	0.95	hmmsearch	Gly1
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	61	208	254	8.396e-10	0.61	0.75	hmmsearch	Gly1
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	61	286	320	4.694e-06	0.66	0.56	hmmsearch	Gly1
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	60	133	174	0.000305	0.64	0.68	hmmsearch	Gly2
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	60	200	257	1.555e-24	0.47	0.95	hmmsearch	Gly2
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	60	284	322	4.051e-05	0.67	0.63	hmmsearch	Gly2
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	57	134	168	0.003951	0.6	0.6	hmmsearch	Gly3
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	57	205	248	0.0001976	0.64	0.75	hmmsearch	Gly3
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	57	274	328	5.265e-25	0.55	0.95	hmmsearch	Gly3
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	61	110	170	8.833e-25	0.43	0.98	hmmsearch	Gly1
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	61	195	242	2.645e-08	0.54	0.77	hmmsearch	Gly1
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	61	272	300	0.03171	0.69	0.46	hmmsearch	Gly1
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	60	119	170	5.462e-08	0.62	0.85	hmmsearch	Gly2
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	60	186	244	1.225e-25	0.36	0.97	hmmsearch	Gly2
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	60	276	300	0.006555	0.72	0.4	hmmsearch	Gly2
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	57	123	159	0.01715	0.62	0.63	hmmsearch	Gly3
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	57	194	234	1.132e-05	0.59	0.7	hmmsearch	Gly3
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	57	258	312	1.405e-26	0.51	0.95	hmmsearch	Gly3
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	61	110	170	8.833e-25	0.43	0.98	hmmsearch	Gly1
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	61	195	242	2.645e-08	0.54	0.77	hmmsearch	Gly1
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	61	272	300	0.03171	0.69	0.46	hmmsearch	Gly1
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	60	119	170	5.462e-08	0.62	0.85	hmmsearch	Gly2
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	60	186	244	1.225e-25	0.36	0.97	hmmsearch	Gly2
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	60	276	300	0.006555	0.72	0.4	hmmsearch	Gly2
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	57	123	159	0.01715	0.62	0.63	hmmsearch	Gly3
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	57	194	234	1.132e-05	0.59	0.7	hmmsearch	Gly3
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	57	258	312	1.405e-26	0.51	0.95	hmmsearch	Gly3
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	61	110	170	8.833e-25	0.43	0.98	hmmsearch	Gly1
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	61	195	242	2.645e-08	0.54	0.77	hmmsearch	Gly1
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	61	272	300	0.03171	0.69	0.46	hmmsearch	Gly1
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	60	119	170	5.462e-08	0.62	0.85	hmmsearch	Gly2
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	60	186	244	1.225e-25	0.36	0.97	hmmsearch	Gly2
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	60	276	300	0.006555	0.72	0.4	hmmsearch	Gly2
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	57	123	159	0.01715	0.62	0.63	hmmsearch	Gly3
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	57	194	234	1.132e-05	0.59	0.7	hmmsearch	Gly3
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	57	258	312	1.405e-26	0.51	0.95	hmmsearch	Gly3
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	61	131	188	1.288e-22	0.38	0.93	hmmsearch	Gly1
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	61	222	265	3.169e-08	0.65	0.7	hmmsearch	Gly1
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	60	139	193	8.827e-08	0.65	0.9	hmmsearch	Gly2
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	60	212	268	8.138e-21	0.58	0.93	hmmsearch	Gly2
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	57	132	181	0.2132	0.7	0.86	hmmsearch	Gly3
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	57	218	255	5.358e-07	0.63	0.65	hmmsearch	Gly3
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	61	110	170	2.796e-24	0.41	0.98	hmmsearch	Gly1
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	61	196	243	6.441e-08	0.56	0.77	hmmsearch	Gly1
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	61	272	299	0.02071	0.68	0.44	hmmsearch	Gly1
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	61	365	394	1.478	0.77	0.48	hmmsearch	Gly1
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	61	419	424	28.0	0.33	0.08	hmmsearch	Gly1
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	60	119	170	1.211e-07	0.63	0.85	hmmsearch	Gly2
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	60	188	244	2.54e-25	0.35	0.93	hmmsearch	Gly2
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	60	274	301	0.05941	0.75	0.45	hmmsearch	Gly2
